episode,moving_avg_200
199,6.25
398,7.29
597,6.35
796,6.94
995,6.33
1194,6.97
1393,7.14
1592,6.71
1791,6.61
1990,7.14
2189,5.61
2388,7.01
2587,5.41
2786,6.58
2985,6.42
3184,6.96
3383,7.57
3582,6.61
3781,6.32
3980,6.31
4179,7.09
4378,6.75
4577,6.88
4776,7.49
4975,8.47
5174,6.73
5373,6.1
5572,6.87
5771,7.63
5970,6.38
6169,6.87
6368,6.44
6567,6.63
6766,7.59
6965,6.76
7164,7.08
7363,6.93
7562,8.06
7761,6.97
7960,6.88
8159,7.23
8358,5.91
8557,6.68
8756,7.48
8955,6.83
9154,6.38
9353,6.26
9552,6.92
9751,6.53
9950,6.66
10149,7.22
10348,6.99
10547,7.02
10746,6.92
10945,7.65
11144,5.94
11343,6.95
11542,8.16
11741,6.64
11940,6.59
12139,7.12
12338,7.45
12537,7.58
12736,6.57
12935,7.45
13134,5.77
13333,5.62
13532,6.99
13731,6.28
13930,7.04
14129,7.85
14328,7.1
14527,6.75
14726,6.81
14925,7.71
15124,6.79
15323,7.3
15522,8.12
15721,7.53
15920,6.91
16119,6.29
16318,6.42
16517,6.69
16716,6.9
16915,7.55
17114,6.84
17313,8.16
17512,6.86
17711,6.6
17910,6.78
18109,6.33
18308,7.52
18507,7.5
18706,6.21
18905,7.82
19104,6.86
19303,7.79
19502,6.42
19701,6.42
19900,5.76
20099,6.97
20298,7.11
20497,6.03
20696,7.49
20895,7.62
21094,7.27
21293,6.33
21492,6.45
21691,6.26
21890,7.01
22089,7.08
22288,7.57
22487,6.56
22686,6.99
22885,5.64
23084,6.82
23283,6.31
23482,7.59
23681,8.03
23880,6.86
24079,6.95
24278,7.84
24477,7.08
24676,7.45
24875,6.64
25074,5.95
25273,6.7
25472,9.03
25671,5.91
25870,6.47
26069,7.95
26268,6.79
26467,7.01
26666,7.07
26865,6.65
27064,7.2
27263,7.28
27462,7.79
27661,6.88
27860,6.49
28059,6.8
28258,6.62
28457,6.56
28656,6.8
28855,8.18
29054,6.67
29253,6.91
29452,7.96
29651,6.77
29850,6.97
30049,6.47
30248,7.8
30447,6.94
30646,7.07
30845,7.4
31044,7.44
31243,7.93
31442,7.1
31641,6.55
31840,7.76
32039,6.61
32238,6.18
32437,7.38
32636,7.75
32835,6.37
33034,6.52
33233,6.92
33432,6.21
33631,7.4
33830,6.28
34029,6.96
34228,7.52
34427,7.62
34626,7.21
34825,7.73
35024,7.93
35223,8.0
35422,7.11
35621,6.77
35820,7.94
36019,6.32
36218,7.62
36417,6.3
36616,7.27
36815,7.88
37014,6.55
37213,6.44
37412,8.57
37611,6.91
37810,6.51
38009,6.15
38208,6.8
38407,8.0
38606,8.11
38805,6.85
39004,7.1
39203,7.99
39402,7.16
39601,8.21
39800,7.34
39999,6.89
40198,7.0
40397,7.59
40596,8.02
40795,8.54
40994,7.26
41193,7.78
41392,6.83
41591,6.75
41790,7.33
41989,8.06
42188,7.46
42387,6.65
42586,6.83
42785,5.56
42984,7.24
