agent,episode_index,seed,score
ppo_full_board_masked,0,1,60.0
ppo_full_board_masked,1,2,51.0
ppo_full_board_masked,2,3,63.0
ppo_full_board_masked,3,4,27.0
ppo_full_board_masked,4,5,51.0
ppo_full_board_masked,5,6,27.0
ppo_full_board_masked,6,7,55.0
ppo_full_board_masked,7,8,51.0
ppo_full_board_masked,8,9,87.0
ppo_full_board_masked,9,10,43.0
ppo_full_board_masked,10,11,103.0
ppo_full_board_masked,11,12,96.0
ppo_full_board_masked,12,13,24.0
ppo_full_board_masked,13,14,51.0
ppo_full_board_masked,14,15,51.0
ppo_full_board_masked,15,16,51.0
ppo_full_board_masked,16,17,51.0
ppo_full_board_masked,17,18,66.0
ppo_full_board_masked,18,19,75.0
ppo_full_board_masked,19,20,88.0
ppo_full_board_masked,20,21,51.0
ppo_full_board_masked,21,22,77.0
ppo_full_board_masked,22,23,51.0
ppo_full_board_masked,23,24,24.0
ppo_full_board_masked,24,25,66.0
ppo_full_board_masked,25,26,78.0
ppo_full_board_masked,26,27,96.0
ppo_full_board_masked,27,28,33.0
ppo_full_board_masked,28,29,63.0
ppo_full_board_masked,29,30,69.0
ppo_full_board_masked,30,31,51.0
ppo_full_board_masked,31,32,62.0
ppo_full_board_masked,32,33,51.0
ppo_full_board_masked,33,34,51.0
ppo_full_board_masked,34,35,24.0
ppo_full_board_masked,35,36,24.0
ppo_full_board_masked,36,37,24.0
ppo_full_board_masked,37,38,27.0
ppo_full_board_masked,38,39,99.0
ppo_full_board_masked,39,40,51.0
ppo_full_board_masked,40,41,84.0
ppo_full_board_masked,41,42,24.0
ppo_full_board_masked,42,43,27.0
ppo_full_board_masked,43,44,51.0
ppo_full_board_masked,44,45,51.0
ppo_full_board_masked,45,46,27.0
ppo_full_board_masked,46,47,91.0
ppo_full_board_masked,47,48,31.0
ppo_full_board_masked,48,49,56.0
ppo_full_board_masked,49,50,51.0
ppo_full_board_masked,50,51,78.0
ppo_full_board_masked,51,52,51.0
ppo_full_board_masked,52,53,31.0
ppo_full_board_masked,53,54,51.0
ppo_full_board_masked,54,55,66.0
ppo_full_board_masked,55,56,24.0
ppo_full_board_masked,56,57,51.0
ppo_full_board_masked,57,58,55.0
ppo_full_board_masked,58,59,51.0
ppo_full_board_masked,59,60,51.0
ppo_full_board_masked,60,61,66.0
ppo_full_board_masked,61,62,72.0
ppo_full_board_masked,62,63,57.0
ppo_full_board_masked,63,64,88.0
ppo_full_board_masked,64,65,78.0
ppo_full_board_masked,65,66,24.0
ppo_full_board_masked,66,67,67.0
ppo_full_board_masked,67,68,76.0
ppo_full_board_masked,68,69,62.0
ppo_full_board_masked,69,70,84.0
ppo_full_board_masked,70,71,74.0
ppo_full_board_masked,71,72,51.0
ppo_full_board_masked,72,73,24.0
ppo_full_board_masked,73,74,51.0
ppo_full_board_masked,74,75,51.0
ppo_full_board_masked,75,76,51.0
ppo_full_board_masked,76,77,51.0
ppo_full_board_masked,77,78,57.0
ppo_full_board_masked,78,79,27.0
ppo_full_board_masked,79,80,71.0
ppo_full_board_masked,80,81,27.0
ppo_full_board_masked,81,82,27.0
ppo_full_board_masked,82,83,55.0
ppo_full_board_masked,83,84,64.0
ppo_full_board_masked,84,85,27.0
ppo_full_board_masked,85,86,27.0
ppo_full_board_masked,86,87,78.0
ppo_full_board_masked,87,88,67.0
ppo_full_board_masked,88,89,66.0
ppo_full_board_masked,89,90,24.0
ppo_full_board_masked,90,91,51.0
ppo_full_board_masked,91,92,27.0
ppo_full_board_masked,92,93,69.0
ppo_full_board_masked,93,94,51.0
ppo_full_board_masked,94,95,51.0
ppo_full_board_masked,95,96,30.0
ppo_full_board_masked,96,97,51.0
ppo_full_board_masked,97,98,24.0
ppo_full_board_masked,98,99,127.0
ppo_full_board_masked,99,100,72.0
ppo_full_board_masked,100,101,79.0
ppo_full_board_masked,101,102,51.0
ppo_full_board_masked,102,103,103.0
ppo_full_board_masked,103,104,39.0
ppo_full_board_masked,104,105,72.0
ppo_full_board_masked,105,106,51.0
ppo_full_board_masked,106,107,51.0
ppo_full_board_masked,107,108,95.0
ppo_full_board_masked,108,109,51.0
ppo_full_board_masked,109,110,24.0
ppo_full_board_masked,110,111,0.0
ppo_full_board_masked,111,112,90.0
ppo_full_board_masked,112,113,72.0
ppo_full_board_masked,113,114,51.0
ppo_full_board_masked,114,115,21.0
ppo_full_board_masked,115,116,102.0
ppo_full_board_masked,116,117,78.0
ppo_full_board_masked,117,118,55.0
ppo_full_board_masked,118,119,51.0
ppo_full_board_masked,119,120,51.0
ppo_full_board_masked,120,121,79.0
ppo_full_board_masked,121,122,51.0
ppo_full_board_masked,122,123,78.0
ppo_full_board_masked,123,124,24.0
ppo_full_board_masked,124,125,51.0
ppo_full_board_masked,125,126,78.0
ppo_full_board_masked,126,127,51.0
ppo_full_board_masked,127,128,57.0
ppo_full_board_masked,128,129,51.0
ppo_full_board_masked,129,130,24.0
ppo_full_board_masked,130,131,78.0
ppo_full_board_masked,131,132,27.0
ppo_full_board_masked,132,133,51.0
ppo_full_board_masked,133,134,82.0
ppo_full_board_masked,134,135,27.0
ppo_full_board_masked,135,136,80.0
ppo_full_board_masked,136,137,51.0
ppo_full_board_masked,137,138,67.0
ppo_full_board_masked,138,139,24.0
ppo_full_board_masked,139,140,51.0
ppo_full_board_masked,140,141,36.0
ppo_full_board_masked,141,142,50.0
ppo_full_board_masked,142,143,99.0
ppo_full_board_masked,143,144,51.0
ppo_full_board_masked,144,145,69.0
ppo_full_board_masked,145,146,51.0
ppo_full_board_masked,146,147,78.0
