agent,episode_index,seed,score
ppo_full_board_masked,0,5,137.0
ppo_full_board_masked,1,6,59.0
ppo_full_board_masked,2,7,78.0
ppo_full_board_masked,3,8,103.0
ppo_full_board_masked,4,9,98.0
ppo_full_board_masked,5,10,51.0
ppo_full_board_masked,6,11,106.0
ppo_full_board_masked,7,12,91.0
ppo_full_board_masked,8,13,51.0
ppo_full_board_masked,9,14,87.0
ppo_full_board_masked,10,15,96.0
ppo_full_board_masked,11,16,39.0
ppo_full_board_masked,12,17,132.0
ppo_full_board_masked,13,18,56.0
ppo_full_board_masked,14,19,100.0
ppo_full_board_masked,15,20,86.0
ppo_full_board_masked,16,21,83.0
ppo_full_board_masked,17,22,144.0
ppo_full_board_masked,18,23,124.0
ppo_full_board_masked,19,24,63.0
ppo_full_board_masked,20,25,78.0
ppo_full_board_masked,21,26,78.0
ppo_full_board_masked,22,27,108.0
ppo_full_board_masked,23,28,91.0
ppo_full_board_masked,24,29,98.0
ppo_full_board_masked,25,30,99.0
ppo_full_board_masked,26,31,51.0
ppo_full_board_masked,27,32,69.0
ppo_full_board_masked,28,33,103.0
ppo_full_board_masked,29,34,86.0
ppo_full_board_masked,30,35,24.0
ppo_full_board_masked,31,36,78.0
ppo_full_board_masked,32,37,68.0
ppo_full_board_masked,33,38,54.0
ppo_full_board_masked,34,39,103.0
ppo_full_board_masked,35,40,132.0
ppo_full_board_masked,36,41,98.0
ppo_full_board_masked,37,42,76.0
ppo_full_board_masked,38,43,56.0
ppo_full_board_masked,39,44,99.0
ppo_full_board_masked,40,45,93.0
ppo_full_board_masked,41,46,39.0
ppo_full_board_masked,42,47,27.0
ppo_full_board_masked,43,48,103.0
ppo_full_board_masked,44,49,72.0
ppo_full_board_masked,45,50,96.0
ppo_full_board_masked,46,51,103.0
ppo_full_board_masked,47,52,99.0
ppo_full_board_masked,48,53,148.0
ppo_full_board_masked,49,54,78.0
ppo_full_board_masked,50,55,86.0
ppo_full_board_masked,51,56,95.0
ppo_full_board_masked,52,57,157.0
ppo_full_board_masked,53,58,91.0
ppo_full_board_masked,54,59,96.0
ppo_full_board_masked,55,60,86.0
ppo_full_board_masked,56,61,77.0
ppo_full_board_masked,57,62,50.0
ppo_full_board_masked,58,63,99.0
ppo_full_board_masked,59,64,93.0
ppo_full_board_masked,60,65,83.0
ppo_full_board_masked,61,66,56.0
ppo_full_board_masked,62,67,99.0
ppo_full_board_masked,63,68,72.0
ppo_full_board_masked,64,69,83.0
ppo_full_board_masked,65,70,27.0
ppo_full_board_masked,66,71,75.0
ppo_full_board_masked,67,72,98.0
ppo_full_board_masked,68,73,32.0
ppo_full_board_masked,69,74,75.0
ppo_full_board_masked,70,75,72.0
ppo_full_board_masked,71,76,86.0
ppo_full_board_masked,72,77,130.0
ppo_full_board_masked,73,78,80.0
ppo_full_board_masked,74,79,56.0
ppo_full_board_masked,75,80,124.0
ppo_full_board_masked,76,81,140.0
ppo_full_board_masked,77,82,62.0
ppo_full_board_masked,78,83,83.0
ppo_full_board_masked,79,84,81.0
ppo_full_board_masked,80,85,35.0
ppo_full_board_masked,81,86,62.0
ppo_full_board_masked,82,87,86.0
ppo_full_board_masked,83,88,87.0
ppo_full_board_masked,84,89,86.0
ppo_full_board_masked,85,90,60.0
ppo_full_board_masked,86,91,47.0
ppo_full_board_masked,87,92,78.0
ppo_full_board_masked,88,93,111.0
ppo_full_board_masked,89,94,90.0
ppo_full_board_masked,90,95,137.0
ppo_full_board_masked,91,96,79.0
ppo_full_board_masked,92,97,107.0
ppo_full_board_masked,93,98,92.0
ppo_full_board_masked,94,99,77.0
ppo_full_board_masked,95,100,123.0
ppo_full_board_masked,96,101,132.0
ppo_full_board_masked,97,102,35.0
ppo_full_board_masked,98,103,57.0
ppo_full_board_masked,99,104,51.0
ppo_full_board_masked,100,105,94.0
ppo_full_board_masked,101,106,103.0
ppo_full_board_masked,102,107,107.0
ppo_full_board_masked,103,108,132.0
ppo_full_board_masked,104,109,78.0
ppo_full_board_masked,105,110,56.0
ppo_full_board_masked,106,111,32.0
ppo_full_board_masked,107,112,78.0
ppo_full_board_masked,108,113,119.0
ppo_full_board_masked,109,114,97.0
ppo_full_board_masked,110,115,114.0
ppo_full_board_masked,111,116,78.0
ppo_full_board_masked,112,117,86.0
ppo_full_board_masked,113,118,92.0
ppo_full_board_masked,114,119,86.0
ppo_full_board_masked,115,120,51.0
ppo_full_board_masked,116,121,43.0
ppo_full_board_masked,117,122,27.0
ppo_full_board_masked,118,123,78.0
ppo_full_board_masked,119,124,71.0
ppo_full_board_masked,120,125,111.0
ppo_full_board_masked,121,126,98.0
ppo_full_board_masked,122,127,105.0
ppo_full_board_masked,123,128,116.0
ppo_full_board_masked,124,129,91.0
ppo_full_board_masked,125,130,82.0
ppo_full_board_masked,126,131,78.0
ppo_full_board_masked,127,132,95.0
ppo_full_board_masked,128,133,119.0
ppo_full_board_masked,129,134,123.0
ppo_full_board_masked,130,135,83.0
ppo_full_board_masked,131,136,78.0
ppo_full_board_masked,132,137,75.0
ppo_full_board_masked,133,138,104.0
ppo_full_board_masked,134,139,51.0
ppo_full_board_masked,135,140,104.0
ppo_full_board_masked,136,141,82.0
ppo_full_board_masked,137,142,89.0
ppo_full_board_masked,138,143,75.0
ppo_full_board_masked,139,144,78.0
ppo_full_board_masked,140,145,77.0
ppo_full_board_masked,141,146,98.0
ppo_full_board_masked,142,147,86.0
ppo_full_board_masked,143,148,111.0
ppo_full_board_masked,144,149,105.0
ppo_full_board_masked,145,150,78.0
ppo_full_board_masked,146,151,51.0
ppo_full_board_masked,147,152,117.0
ppo_full_board_masked,148,153,51.0
ppo_full_board_masked,149,154,54.0
ppo_full_board_masked,150,155,83.0
ppo_full_board_masked,151,156,44.0
ppo_full_board_masked,152,157,76.0
ppo_full_board_masked,153,158,110.0
ppo_full_board_masked,154,159,82.0
ppo_full_board_masked,155,160,51.0
ppo_full_board_masked,156,161,78.0
ppo_full_board_masked,157,162,68.0
ppo_full_board_masked,158,163,96.0
ppo_full_board_masked,159,164,106.0
ppo_full_board_masked,160,165,51.0
ppo_full_board_masked,161,166,103.0
ppo_full_board_masked,162,167,75.0
ppo_full_board_masked,163,168,82.0
ppo_full_board_masked,164,169,59.0
ppo_full_board_masked,165,170,70.0
ppo_full_board_masked,166,171,78.0
ppo_full_board_masked,167,172,86.0
ppo_full_board_masked,168,173,98.0
ppo_full_board_masked,169,174,110.0
ppo_full_board_masked,170,175,120.0
ppo_full_board_masked,171,176,35.0
ppo_full_board_masked,172,177,33.0
ppo_full_board_masked,173,178,78.0
ppo_full_board_masked,174,179,86.0
ppo_full_board_masked,175,180,90.0
ppo_full_board_masked,176,181,76.0
ppo_full_board_masked,177,182,51.0
ppo_full_board_masked,178,183,104.0
ppo_full_board_masked,179,184,51.0
ppo_full_board_masked,180,185,78.0
ppo_full_board_masked,181,186,72.0
ppo_full_board_masked,182,187,110.0
ppo_full_board_masked,183,188,111.0
ppo_full_board_masked,184,189,86.0
ppo_full_board_masked,185,190,83.0
ppo_full_board_masked,186,191,116.0
ppo_full_board_masked,187,192,98.0
ppo_full_board_masked,188,193,51.0
ppo_full_board_masked,189,194,86.0
ppo_full_board_masked,190,195,99.0
ppo_full_board_masked,191,196,111.0
ppo_full_board_masked,192,197,110.0
ppo_full_board_masked,193,198,112.0
ppo_full_board_masked,194,199,51.0
ppo_full_board_masked,195,200,86.0
ppo_full_board_masked,196,201,84.0
ppo_full_board_masked,197,202,79.0
ppo_full_board_masked,198,203,51.0
ppo_full_board_masked,199,204,111.0
ppo_full_board_masked,200,205,98.0
ppo_full_board_masked,201,206,100.0
ppo_full_board_masked,202,207,98.0
ppo_full_board_masked,203,208,86.0
ppo_full_board_masked,204,209,78.0
