agent,episode_index,seed,score
search_d0_eg4,0,1,150.0
search_d0_eg4,1,2,155.0
search_d0_eg4,2,3,144.0
search_d0_eg4,3,4,221.0
search_d0_eg4,4,5,150.0
search_d0_eg4,5,6,221.0
search_d0_eg4,6,7,176.0
search_d0_eg4,7,8,154.0
search_d0_eg4,8,9,182.0
search_d0_eg4,9,10,162.0
search_d0_eg4,10,11,144.0
search_d0_eg4,11,12,170.0
search_d0_eg4,12,13,169.0
search_d0_eg4,13,14,163.0
search_d0_eg4,14,15,185.0
search_d0_eg4,15,16,171.0
search_d0_eg4,16,17,126.0
search_d0_eg4,17,18,174.0
search_d0_eg4,18,19,153.0
search_d0_eg4,19,20,126.0
search_d0_eg4,20,21,191.0
search_d0_eg4,21,22,140.0
search_d0_eg4,22,23,168.0
search_d0_eg4,23,24,118.0
search_d0_eg4,24,25,167.0
search_d0_eg4,25,26,156.0
search_d0_eg4,26,27,142.0
search_d0_eg4,27,28,179.0
search_d0_eg4,28,29,139.0
search_d0_eg4,29,30,202.0
search_d0_eg4,30,31,165.0
search_d0_eg4,31,32,157.0
search_d0_eg4,32,33,160.0
search_d0_eg4,33,34,172.0
search_d0_eg4,34,35,170.0
search_d0_eg4,35,36,145.0
search_d0_eg4,36,37,179.0
search_d0_eg4,37,38,159.0
search_d0_eg4,38,39,145.0
search_d0_eg4,39,40,163.0
search_d0_eg4,40,41,148.0
search_d0_eg4,41,42,176.0
search_d0_eg4,42,43,146.0
search_d0_eg4,43,44,144.0
search_d0_eg4,44,45,154.0
search_d0_eg4,45,46,147.0
search_d0_eg4,46,47,133.0
search_d0_eg4,47,48,143.0
search_d0_eg4,48,49,130.0
search_d0_eg4,49,50,139.0
search_d0_eg4,50,51,170.0
search_d0_eg4,51,52,185.0
search_d0_eg4,52,53,163.0
search_d0_eg4,53,54,142.0
search_d0_eg4,54,55,159.0
search_d0_eg4,55,56,122.0
search_d0_eg4,56,57,188.0
search_d0_eg4,57,58,175.0
search_d0_eg4,58,59,125.0
