agent,episode_index,seed,score
search_d1_eg4,0,1,150.0
search_d1_eg4,1,2,155.0
search_d1_eg4,2,3,119.0
search_d1_eg4,3,4,195.0
search_d1_eg4,4,5,150.0
search_d1_eg4,5,6,187.0
search_d1_eg4,6,7,176.0
search_d1_eg4,7,8,160.0
search_d1_eg4,8,9,182.0
search_d1_eg4,9,10,162.0
search_d1_eg4,10,11,153.0
search_d1_eg4,11,12,170.0
search_d1_eg4,12,13,185.0
search_d1_eg4,13,14,163.0
search_d1_eg4,14,15,141.0
search_d1_eg4,15,16,171.0
search_d1_eg4,16,17,126.0
search_d1_eg4,17,18,174.0
search_d1_eg4,18,19,153.0
search_d1_eg4,19,20,149.0
search_d1_eg4,20,21,191.0
search_d1_eg4,21,22,173.0
search_d1_eg4,22,23,216.0
search_d1_eg4,23,24,183.0
search_d1_eg4,24,25,134.0
search_d1_eg4,25,26,156.0
search_d1_eg4,26,27,142.0
search_d1_eg4,27,28,190.0
search_d1_eg4,28,29,139.0
search_d1_eg4,29,30,202.0
search_d1_eg4,30,31,189.0
search_d1_eg4,31,32,153.0
search_d1_eg4,32,33,160.0
search_d1_eg4,33,34,126.0
search_d1_eg4,34,35,170.0
search_d1_eg4,35,36,215.0
search_d1_eg4,36,37,179.0
search_d1_eg4,37,38,159.0
search_d1_eg4,38,39,145.0
search_d1_eg4,39,40,163.0
search_d1_eg4,40,41,151.0
search_d1_eg4,41,42,195.0
search_d1_eg4,42,43,146.0
search_d1_eg4,43,44,198.0
search_d1_eg4,44,45,154.0
search_d1_eg4,45,46,147.0
search_d1_eg4,46,47,123.0
search_d1_eg4,47,48,184.0
search_d1_eg4,48,49,156.0
search_d1_eg4,49,50,139.0
search_d1_eg4,50,51,176.0
search_d1_eg4,51,52,185.0
search_d1_eg4,52,53,169.0
search_d1_eg4,53,54,150.0
search_d1_eg4,54,55,140.0
search_d1_eg4,55,56,128.0
search_d1_eg4,56,57,163.0
search_d1_eg4,57,58,163.0
search_d1_eg4,58,59,131.0
search_d1_eg4,59,60,220.0
search_d1_eg4,60,61,205.0
search_d1_eg4,61,62,168.0
search_d1_eg4,62,63,139.0
search_d1_eg4,63,64,178.0
search_d1_eg4,64,65,172.0
search_d1_eg4,65,66,200.0
search_d1_eg4,66,67,149.0
search_d1_eg4,67,68,199.0
search_d1_eg4,68,69,141.0
search_d1_eg4,69,70,179.0
search_d1_eg4,70,71,140.0
search_d1_eg4,71,72,198.0
search_d1_eg4,72,73,218.0
search_d1_eg4,73,74,156.0
search_d1_eg4,74,75,152.0
search_d1_eg4,75,76,156.0
search_d1_eg4,76,77,109.0
search_d1_eg4,77,78,161.0
search_d1_eg4,78,79,159.0
search_d1_eg4,79,80,116.0
search_d1_eg4,80,81,148.0
search_d1_eg4,81,82,189.0
search_d1_eg4,82,83,150.0
search_d1_eg4,83,84,171.0
search_d1_eg4,84,85,224.0
search_d1_eg4,85,86,123.0
search_d1_eg4,86,87,184.0
search_d1_eg4,87,88,187.0
search_d1_eg4,88,89,133.0
search_d1_eg4,89,90,194.0
search_d1_eg4,90,91,173.0
search_d1_eg4,91,92,125.0
search_d1_eg4,92,93,220.0
search_d1_eg4,93,94,171.0
search_d1_eg4,94,95,152.0
search_d1_eg4,95,96,164.0
search_d1_eg4,96,97,153.0
search_d1_eg4,97,98,171.0
search_d1_eg4,98,99,122.0
search_d1_eg4,99,100,176.0
search_d1_eg4,100,101,187.0
search_d1_eg4,101,102,208.0
