agent,episode_index,seed,score
afterstate_full_board,0,1,98.0
afterstate_full_board,1,2,109.0
afterstate_full_board,2,3,110.0
afterstate_full_board,3,4,111.0
afterstate_full_board,4,5,125.0
afterstate_full_board,5,6,115.0
afterstate_full_board,6,7,128.0
afterstate_full_board,7,8,118.0
afterstate_full_board,8,9,103.0
afterstate_full_board,9,10,116.0
afterstate_full_board,10,11,116.0
afterstate_full_board,11,12,101.0
afterstate_full_board,12,13,136.0
afterstate_full_board,13,14,137.0
afterstate_full_board,14,15,133.0
afterstate_full_board,15,16,97.0
afterstate_full_board,16,17,170.0
afterstate_full_board,17,18,92.0
afterstate_full_board,18,19,155.0
afterstate_full_board,19,20,122.0
afterstate_full_board,20,21,123.0
afterstate_full_board,21,22,140.0
afterstate_full_board,22,23,138.0
afterstate_full_board,23,24,97.0
afterstate_full_board,24,25,126.0
afterstate_full_board,25,26,121.0
afterstate_full_board,26,27,136.0
afterstate_full_board,27,28,98.0
afterstate_full_board,28,29,136.0
afterstate_full_board,29,30,166.0
afterstate_full_board,30,31,125.0
afterstate_full_board,31,32,155.0
afterstate_full_board,32,33,116.0
afterstate_full_board,33,34,103.0
afterstate_full_board,34,35,140.0
afterstate_full_board,35,36,142.0
afterstate_full_board,36,37,126.0
afterstate_full_board,37,38,154.0
afterstate_full_board,38,39,107.0
afterstate_full_board,39,40,116.0
afterstate_full_board,40,41,155.0
afterstate_full_board,41,42,115.0
afterstate_full_board,42,43,133.0
afterstate_full_board,43,44,147.0
afterstate_full_board,44,45,132.0
afterstate_full_board,45,46,129.0
afterstate_full_board,46,47,114.0
afterstate_full_board,47,48,133.0
afterstate_full_board,48,49,132.0
afterstate_full_board,49,50,106.0
afterstate_full_board,50,51,98.0
afterstate_full_board,51,52,124.0
afterstate_full_board,52,53,115.0
afterstate_full_board,53,54,126.0
afterstate_full_board,54,55,89.0
afterstate_full_board,55,56,137.0
afterstate_full_board,56,57,140.0
afterstate_full_board,57,58,123.0
afterstate_full_board,58,59,127.0
afterstate_full_board,59,60,125.0
afterstate_full_board,60,61,109.0
afterstate_full_board,61,62,157.0
afterstate_full_board,62,63,161.0
afterstate_full_board,63,64,125.0
afterstate_full_board,64,65,105.0
afterstate_full_board,65,66,117.0
afterstate_full_board,66,67,100.0
afterstate_full_board,67,68,96.0
afterstate_full_board,68,69,121.0
afterstate_full_board,69,70,81.0
afterstate_full_board,70,71,123.0
afterstate_full_board,71,72,125.0
afterstate_full_board,72,73,130.0
afterstate_full_board,73,74,148.0
afterstate_full_board,74,75,130.0
afterstate_full_board,75,76,82.0
afterstate_full_board,76,77,119.0
afterstate_full_board,77,78,153.0
afterstate_full_board,78,79,88.0
